"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4612","YMR294W",521.488105796074,0.0609869977588699,0.0454681259543669,1.34131320521277,0.17981878417827,0.302804890422472
"4613","YMR295C",3605.48015465874,0.0397032890531869,0.0269090775811198,1.47546079695589,0.140088700526186,0.252048258401984
"4614","YMR296C",6267.65909943795,-0.0388036398729578,0.0524974380884639,-0.739153019382955,0.459814085044019,0.599935475353422
"4615","YMR297W",6481.81247318851,-9.3815932946563e-05,0.0210913235608676,-0.00444808182264232,0.996450955891758,0.997395608401689
"4616","YMR298W",1690.48454104791,0.12981691540349,0.0331183780657391,3.91978481391229,8.8628066727048e-05,0.000513216455864579
"4617","YMR299C",730.996055110642,-0.0203347537817142,0.041143393563895,-0.494241043829666,0.621135956393185,0.74054557148821
"4618","YMR300C",5687.01421777525,0.100199338789985,0.0459742342147003,2.17946727121223,0.0292969734477098,0.0751210696559619
"4619","YMR301C",1162.09848328642,-0.0475129505475283,0.0529690093888944,-0.896995263753035,0.36972144432432,0.516594502092266
"4620","YMR302C",1377.38062070165,-0.0894674206007179,0.0350390712327204,-2.55336164610353,0.0106688655570481,0.0329212193394544
"4621","YMR303C",6228.53701508521,-0.0968395610978263,0.0548284548276992,-1.76622816386398,0.0773575778362412,0.160833690709743
"4622","YMR304W",876.798577308219,-0.102503082054993,0.0479843547534326,-2.13617714735783,0.0326649774106708,0.0818878647015552
"4623","YMR305C",11734.4252580289,0.190140966385471,0.0592112274700975,3.21123162801337,0.00132167356573716,0.00560803887404212
"4624","YMR306W",445.314357891429,-0.0621912801176878,0.050479782664808,-1.23200372177998,0.217947693852605,0.349898287013748
"4625","YMR307W",27393.2211669135,0.283027337660173,0.0319261484111828,8.86506364673279,7.64603822492558e-19,2.35134233761668e-17
"4626","YMR308C",3818.12344477596,0.0066813769737483,0.0391098668600504,0.170836096109883,0.864352645677387,0.917316377433153
"4627","YMR309C",5694.80801552221,0.010370615115973,0.0436638693709944,0.237510217609394,0.81226099345152,0.884440253268371
"4628","YMR310C",1459.25194227823,0.076267374800337,0.0367275095810306,2.07657354583411,0.037840936615562,0.0914621646164003
"4629","YMR311C",2522.40070656732,-0.0893059806282847,0.0302959761425764,-2.94778356729621,0.00320061060135364,0.0118447548481748
"4630","YMR312W",884.774374673389,0.257205017385672,0.037362198159756,6.88409756529571,5.81550085813897e-12,1.02053179878976e-10
"4631","YMR313C",1100.86009890152,-0.0735802117571079,0.0350646491821004,-2.09841573988051,0.0358684360650045,0.0879700125713525
"4632","YMR314W",6062.31676881176,-0.0766800709020811,0.0258452657458248,-2.96689040291523,0.0030082817103208,0.0112566241198359
"4633","YMR315W",2095.9184225702,-0.128598561989068,0.0381208805129875,-3.37344154328375,0.000742348070944642,0.00342020002140677
"4634","YMR315W.A",33.8403139462349,-0.345360500178015,0.213248789445264,-1.6195191591775,0.105335607595642,0.20315370054524
"4635","YMR316C.A",8.94010084860352,-0.228893825259481,0.357629743171271,-0.640030169833671,0.522152985426207,0.657720580643649
"4636","YMR316W",1856.49998109275,-0.0359414014492615,0.0503750519913533,-0.713476215477272,0.475551125826134,0.615321973469886
"4637","YMR317W",764.89901524459,-0.12074738945427,0.0462802839562316,-2.60904599393694,0.00907950378756784,0.0288603394351441
"4638","YMR318C",7752.16225185164,-0.0430349959653663,0.030986139378913,-1.38884665298617,0.16487938536203,0.283065286251615
"4639","YMR319C",5898.15751933508,0.141400094641486,0.0406839227653231,3.47557671508531,0.000509756171799438,0.00245015580299654
"4640","YMR320W",260.491809686478,-0.411231725382972,0.069543024893257,-5.91334251011054,3.35234057228929e-09,4.07621449624811e-08
"4641","YMR321C",228.168193690693,1.16002976330728,0.0999916721040976,11.6012637742433,4.06037408225195e-31,2.31733962261857e-29
"4642","YMR322C",7.37912125668054,5.37641990524081,0.875033111138542,6.14424738538788,8.03435421901879e-10,1.06036737453092e-08
"4643","YMR323W",17.9022059181542,7.64998968574698,0.850816117386773,8.99135492313361,2.44201075137138e-19,7.86997405670567e-18
"4644","YMR325W",3.07702893240846,5.11739898882504,0.995729816528674,5.13934493461829,2.756978975798e-07,2.55343008942694e-06
"4645","YNCA0001W",1.26493616912676,-1.43228260963388,1.16172091158131,-1.23289732960414,0.217614071884824,0.349539844165913
"4646","YNCA0002W",1.00597553986357,0.136293914031127,1.13472088892988,0.1201122807915,0.904394204158866,0.942314852530661
"4647","YNCA0003W",228.625857882291,-0.230693402272864,0.100650511679364,-2.292024138017,0.0219042503488422,0.0595295692663728
"4648","YNCA0004W",12.9424705672436,-0.691075909411393,0.281223977059306,-2.45738616115814,0.013995215858614,0.0415657254872573
